entropy,ngram,alignments
0.0,scen,{'san': 13}
0.0,tell,{'tel': 13}
0.0,tie$,{'ti$': 13}
0.0,tère,{'ter': 13}
0.0,Super,{'Siper': 13}
0.0,cien$,{'sien$': 13}
0.0,ettes,{'et': 13}
0.0,nder$,{'nde$': 13}
0.0,teurs,{'ter': 13}
0.0,érieu,{'erye': 13}
0.0,Bé,{'Be': 12}
0.0,$sé,{'$se': 12}
0.0,$vé,{'$ve': 12}
0.0,Cat,{'Kat': 12}
0.0,Har,{'Ar': 12}
0.0,Mét,{'Met': 12}
0.0,ath,{'at': 12}
0.0,dér,{'der': 12}
0.0,ecr,{'ekr': 12}
0.0,ich,{'is': 12}
0.0,irc,{'irk': 12}
0.0,mét,{'met': 12}
0.0,olu,{'oli': 12}
0.0,rès,{'re': 12}
0.0,vé$,{'ve$': 12}
0.0,égr,{'egr': 12}
0.0,$ens,{'$ans': 12}
0.0,Chan,{'san': 12}
0.0,ectr,{'ektr': 12}
0.0,icul,{'ikil': 12}
0.0,inai,{'ine': 12}
0.0,sseu,{'se': 12}
0.0,teau,{'to': 12}
0.0,ésor,{'ezor': 12}
0.0,deman,{'diman': 12}
0.0,ellem,{'elm': 12}
0.0,inati,{'inasi': 12}
0.0,rice$,{'ris$': 12}
0.0,ssage,{'saz': 12}
0.0,ssant,{'san': 12}
0.0,ssemb,{'sanb': 12}
0.0,érati,{'erasi': 12}
0.0,elleme,{'elma': 12}
0.0,ellement,{'elman': 12}
0.0,rô,{'ro': 11}
0.0,Hor,{'Or': 11}
0.0,aca,{'aka': 11}
0.0,ack,{'ak': 11}
0.0,cyc,{'sik': 11}
0.0,jet,{'zet': 11}
0.0,oot,{'out': 11}
0.0,oux,{'ou': 11}
0.0,oût,{'out': 11}
0.0,ppl,{'pl': 11}
0.0,ycl,{'ikl': 11}
0.0,écl,{'ekl': 11}
0.0,ésa,{'eza': 11}
0.0,$sen,{'$san': 11}
0.0,Prés,{'Prez': 11}
0.0,aisi,{'ezi': 11}
0.0,auri,{'ori': 11}
0.0,ceme,{'sma': 11}
0.0,cycl,{'sikl': 11}
0.0,erri,{'eri': 11}
0.0,ert$,{'er$': 11}
0.0,fess,{'fes': 11}
0.0,gues,{'g': 11}
0.0,hamp,{'anp': 11}
0.0,mbou,{'nbou': 11}
0.0,ompt,{'onpt': 11}
0.0,rce$,{'rs$': 11}
0.0,ribu,{'ribi': 11}
0.0,rill,{'riy': 11}
0.0,réci,{'resi': 11}
0.0,tens,{'tans': 11}
0.0,tten,{'tan': 11}
0.0,èrem,{'erm': 11}
0.0,ètre,{'et': 11}
0.0,ecteu,{'ekte': 11}
0.0,ictio,{'iksio': 11}
0.0,iques,{'ik': 11}
0.0,mport,{'nport': 11}
0.0,telli,{'teli': 11}
0.0,èreme,{'erma': 11}
0.0,cement,{'sman': 11}
0.0,ssembl,{'sanbl': 11}
0.0,èrement,{'erman': 11}
0.0,Cé,{'Se': 10}
0.0,dy,{'di': 10}
0.0,gy,{'zi': 10}
0.0,$lé,{'$le': 10}
0.0,Cir,{'Sir': 10}
0.0,Eff,{'Ef': 10}
0.0,Ent,{'Ant': 10}
0.0,Pho,{'Fo': 10}
0.0,Sta,{'Eta': 10}
0.0,aqu,{'ak': 10}
0.0,cur,{'kir': 10}
0.0,ffé,{'fe': 10}
0.0,hol,{'ol': 10}
0.0,phè,{'fe': 10}
0.0,réd,{'red': 10}
0.0,th$,{'t$': 10}
0.0,éfl,{'efl': 10}
0.0,épl,{'epl': 10}
0.0,$enf,{'$anf': 10}
0.0,Terr,{'ter': 10}
0.0,icit,{'isit': 10}
0.0,imen,{'iman': 10}
0.0,inqu,{'ink': 10}
0.0,isio,{'izio': 10}
0.0,nale,{'nal': 10}
0.0,ngue,{'ng': 10}
0.0,nnel,{'nel': 10}
0.0,nse$,{'ns$': 10}
0.0,phie,{'fi': 10}
0.0,reux,{'re': 10}
0.0,ris$,{'ri$': 10}
0.0,rise,{'riz': 10}
0.0,rté$,{'rte$': 10}
0.0,spec,{'spek': 10}
0.0,uite,{'wit': 10}
0.0,vati,{'vasi': 10}
0.0,veme,{'vma': 10}
0.0,yant,{'yan': 10}
0.0,émon,{'emon': 10}
0.0,énér,{'ener': 10}
0.0,emand,{'imand': 10}
0.0,ettre,{'et': 10}
0.0,icale,{'ikal': 10}
0.0,lectr,{'lektr': 10}
0.0,ments,{'man': 10}
0.0,mètre,{'met': 10}
0.0,sseur,{'ser': 10}
0.0,tensi,{'tansi': 10}
0.0,commen,{'koman': 10}
0.0,ecteur,{'ekter': 10}
0.0,inaire,{'iner': 10}
0.0,matique,{'matik': 10}
0.06,Ca,"{'Ka': 153, 'Ko': 1}"
0.07,ssi,"{'si': 119, 'ssi': 1}"
0.07,mp,"{'np': 266, 'mpe': 1, 'nf': 1}"
0.07,ce$,"{'s$': 231, '$': 2}"
0.07,pp,"{'p': 112, 'pr': 1}"
0.11,che$,"{'s$': 69, '$': 1}"
0.11,Cr,"{'Kr': 64, 'Krw': 1}"
0.12,En,"{'An': 63, 'A': 1}"
0.12,tique,"{'tik': 62, 'tike': 1}"
0.13,éa,"{'ea': 56, 'a': 1}"
0.13,ratio,"{'rasio': 53, 'asio': 1}"
0.15,É,"{'E': 142, '': 3}"
0.15,eur,"{'er': 217, 'r': 3, 'ery': 1}"
0.15,cul,"{'kil': 46, 'il': 1}"
0.15,cati,"{'kasi': 46, 'kati': 1}"
0.15,lité,"{'lite': 45, 'ite': 1}"
0.17,he$,"{'$': 80, 'e$': 2}"
0.17,iqu,"{'ik': 38, 'ezi': 1}"
0.18,ette,"{'et': 36, 'ete': 1}"
0.19,ici,"{'isi': 68, 'asi': 2}"
0.19,ions,"{'ion': 34, 'on': 1}"
0.19,taire,"{'ter': 34, 'er': 1}"
0.19,emp,"{'anp': 33, 'p': 1}"
0.19,ate$,"{'at$': 33, 'a$': 1}"
0.2,ité,"{'ite': 141, 'it': 3, 'at': 1}"
0.2,ns$,"{'n$': 181, 'nn$': 3, 'ns$': 2}"
0.21,éf,"{'ef': 60, 'f': 2}"
0.21,isat,"{'izas': 30, 'izat': 1}"
0.21,tio,"{'sio': 515, 'tio': 7, 'io': 6, 'o': 1}"
0.21,mm,"{'m': 58, 'mi': 2}"
0.21,nco,"{'nko': 29, 'nso': 1}"
0.21,table,"{'tab': 29, 'ab': 1}"
0.22,Ét,"{'Et': 28, 't': 1}"
0.22,ique,"{'ik': 191, 'ike': 5, 'ezik': 1}"
0.22,teu,"{'te': 108, 'e': 4}"
0.22,pér,"{'per': 27, 'p': 1}"
0.23,Cl,"{'Kl': 26, 'Koul': 1}"
0.23,Va,"{'va': 26, 'V': 1}"
0.23,can,"{'kan': 26, 'an': 1}"
0.23,gne,"{'gn': 26, 'gna': 1}"
0.23,cer$,"{'se$': 26, 'ser$': 1}"
0.24,cal,"{'kal': 25, 'al': 1}"
0.24,han,"{'an': 48, 'han': 2}"
0.24,$mé,"{'$me': 24, '$Me': 1}"
0.24,rép,"{'rep': 24, 'ep': 1}"
0.24,teur,"{'ter': 95, 'er': 4}"
0.25,itu,"{'iti': 47, 'ati': 2}"
0.25,Éc,"{'Ek': 23, 'k': 1}"
0.25,col,"{'kol': 23, 'ol': 1}"
0.25,cons,"{'kons': 23, 'son': 1}"
0.26,itio,"{'isio': 44, 'io': 2}"
0.26,cla,"{'kla': 22, 'la': 1}"
0.26,yer,"{'ye': 22, 'yer': 1}"
0.26,$ren,"{'$ran': 22, '$ren': 1}"
0.26,llem,"{'lm': 22, 'm': 1}"
0.26,rte$,"{'rt$': 22, 'r$': 1}"
0.26,gi,"{'zi': 104, 'i': 3, 'si': 1}"
0.26,bé,"{'be': 43, 'b': 2}"
0.27,yn,"{'in': 21, 'i': 1}"
0.27,den,"{'dan': 21, 'denn': 1}"
0.27,ific,"{'ifik': 21, 'ifis': 1}"
0.27,con,"{'kon': 137, 'gon': 3, 'son': 1, 'on': 1}"
0.27,lli,"{'li': 51, 'ly': 1, 'ali': 1}"
0.27,sso,"{'so': 41, 'sso': 2}"
0.28,ents,"{'an': 40, 'ants': 2}"
0.28,cep,"{'sep': 20, 'ep': 1}"
0.28,nni,"{'ni': 20, 'nni': 1}"
0.28,ude,"{'id': 20, 'ide': 1}"
0.28,lisa,"{'liza': 20, 'iza': 1}"
0.28,issem,"{'ism': 20, 'asm': 1}"
0.28,lleme,"{'lma': 20, 'ma': 1}"
0.28,isseme,"{'isma': 20, 'asma': 1}"
0.28,llement,"{'lman': 20, 'man': 1}"
0.28,Car,"{'Kar': 39, 'Ka': 2}"
0.29,rè,"{'re': 19, 'rè': 1}"
0.29,sei,"{'se': 19, 'si': 1}"
0.29,tiè,"{'tie': 19, 'ie': 1}"
0.29,$che,"{'$se': 19, '$si': 1}"
0.29,ogie,"{'ozi': 19, 'uzi': 1}"
0.29,utio,"{'isio': 19, 'usio': 1}"
0.29,ép,"{'ep': 112, 'p': 6}"
0.29,Su,"{'Si': 68, 'Sw': 2, 'S': 1}"
0.3,Hé,"{'E': 18, 'He': 1}"
0.3,$em,"{'$an': 18, '$em': 1}"
0.3,Cor,"{'Kor': 18, 'Ko': 1}"
0.3,gé$,"{'ze$': 18, 'z$': 1}"
0.3,och,"{'os': 18, 'osw': 1}"
0.3,oqu,"{'ok': 18, 'oki': 1}"
0.3,rro,"{'ro': 18, 'r': 1}"
0.3,éme,"{'ema': 18, 'eme': 1}"
0.3,nts,"{'n': 66, 'nts': 2, '': 1}"
0.31,mbi,"{'nbi': 17, 'mbi': 1}"
0.31,nch,"{'ns': 17, 'nsw': 1}"
0.31,alem,"{'alm': 17, 'alem': 1}"
0.31,elles,"{'el': 17, 'pal': 1}"
0.31,liste,"{'lis': 17, 'list': 1}"
0.31,ques$,"{'k$': 17, '$': 1}"
0.31,rri,"{'ri': 42, 'ry': 1, 'rri': 1}"
0.31,que$,"{'k$': 241, '$': 8, 'ke$': 1, 'zik$': 1, 'qu$': 1}"
0.32,nn,"{'n': 147, 'nn': 5, 'nw': 1, 'ne': 1}"
0.32,iste$,"{'is$': 48, 'ist$': 3}"
0.32,ress,"{'res': 32, 'resa': 2}"
0.32,dés,"{'dez': 16, 'de': 1}"
0.32,iff,"{'if': 16, 'ifi': 1}"
0.32,rqu,"{'rk': 16, 'rke': 1}"
0.32,char,"{'sar': 16, 'kar': 1}"
0.32,elli,"{'eli': 16, 'pali': 1}"
0.32,nné$,"{'ne$': 16, 'n$': 1}"
0.32,dent$,"{'dan$': 16, 'de$': 1}"
0.33,ie$,"{'i$': 187, 'y$': 3, '$': 2, 'a$': 2, 'ak$': 1}"
0.33,ica,"{'ika': 77, 'ike': 2, 'ik': 2}"
0.34,rch,"{'rs': 30, 'rk': 2}"
0.34,aig,"{'eg': 15, 'g': 1}"
0.34,orr,"{'or': 15, 'r': 1}"
0.34,écr,"{'ekr': 15, 'kr': 1}"
0.34,éfi,"{'efi': 15, 'fi': 1}"
0.34,assa,"{'asa': 15, 'as': 1}"
0.34,rde$,"{'rd$': 15, 'r$': 1}"
0.34,titu,"{'titi': 15, 'iti': 1}"
0.34,ttre,"{'t': 15, 'tre': 1}"
0.34,écou,"{'ekou': 15, 'kou': 1}"
0.34,rant$,"{'ran$': 15, 'rant$': 1}"
0.34,issement,"{'isman': 15, 'asman': 1}"
0.35,eux,"{'e': 70, 'ez': 3, 'ex': 1}"
0.35,sse$,"{'s$': 79, 'sse$': 2, 'ss$': 1, 'se$': 1}"
0.35,év,"{'ev': 56, 'v': 4}"
0.35,gè,"{'ze': 14, 'e': 1}"
0.35,Che,"{'Se': 14, 'se': 1}"
0.35,Rés,"{'Rez': 14, 'R': 1}"
0.35,cru,"{'kri': 14, 'cri': 1}"
0.35,du$,"{'di$': 14, 'n$': 1}"
0.35,hé$,"{'e$': 14, 'he$': 1}"
0.35,hér,"{'er': 14, 'yer': 1}"
0.35,sté,"{'ste': 14, 'st': 1}"
0.35,évi,"{'evi': 14, 'vi': 1}"
0.35,comm,"{'kom': 14, 'komi': 1}"
0.35,rée$,"{'re$': 14, 'e$': 1}"
0.35,trer,"{'tre': 14, 'trer': 1}"
0.35,rateu,"{'rate': 14, 'ate': 1}"
0.35,rateur,"{'rater': 14, 'ater': 1}"
0.36,ge$,"{'z$': 217, '$': 11, 'ze$': 1, 'e$': 1}"
0.37,éni,"{'eni': 26, 'ni': 2}"
0.37,$ju,"{'$zi': 13, '$z': 1}"
0.37,'ét,"{'et': 13, 't': 1}"
0.37,Pen,"{'Pan': 13, 'Pin': 1}"
0.37,l'i,"{'li': 13, 'ali': 1}"
0.37,ope,"{'op': 13, 'ope': 1}"
0.37,réf,"{'ref': 13, 'ef': 1}"
0.37,égi,"{'ezi': 13, 'ti': 1}"
0.37,épr,"{'epr': 13, 'pr': 1}"
0.37,empl,"{'anpl': 13, 'anplw': 1}"
0.37,iati,"{'iasi': 13, 'iati': 1}"
0.37,ins$,"{'in$': 13, 'n$': 1}"
0.37,lici,"{'lisi': 13, 'isi': 1}"
0.37,logi,"{'lozi': 13, 'ozi': 1}"
0.37,ntat,"{'ntas': 13, 'ntat': 1}"
0.37,scri,"{'skri': 13, 'Skri': 1}"
0.37,ains$,"{'in$': 13, 'en$': 1}"
0.37,entai,"{'ante': 13, 'nte': 1}"
0.37,car,"{'kar': 33, 'ar': 1, 'car': 1}"
0.37,cr,"{'kr': 174, 'r': 6, 'krw': 3, 'cr': 1}"
0.38,att,"{'at': 25, 'atw': 2}"
0.38,tu,"{'ti': 158, 'tw': 3, 't': 2, '': 1, 'tou': 1, 'tu': 1}"
0.38,d'a,"{'a': 37, 'da': 3}"
0.39,je,"{'ze': 31, 'e': 1, '': 1}"
0.39,voi,"{'vwa': 31, 'voy': 1, 'vwi': 1}"
0.39,imp,"{'inp': 24, 'p': 2}"
0.39,aiso,"{'ezo': 24, 'zo': 2}"
0.39,rique,"{'rik': 24, 'rike': 2}"
0.39,Cré,"{'Kre': 12, 'Kr': 1}"
0.39,auv,"{'ov': 12, 'v': 1}"
0.39,cta,"{'kta': 12, 'ta': 1}"
0.39,hal,"{'al': 12, 'a': 1}"
0.39,rbe,"{'rb': 12, 'rbe': 1}"
0.39,rgi,"{'rzi': 12, 'rsi': 1}"
0.39,rrê,"{'re': 12, 'rre': 1}"
0.39,çon,"{'son': 12, 'on': 1}"
0.39,ché$,"{'se$': 12, 'nhe$': 1}"
0.39,essu,"{'esi': 12, 'esw': 1}"
0.39,$dema,"{'$dima': 12, '$dim': 1}"
0.39,tière,"{'tier': 12, 'ier': 1}"
0.39,ulaire,"{'iler': 12, 'ler': 1}"
0.4,$co,"{'$ko': 224, '$co': 13, '$kw': 3}"
0.4,rd$,"{'r$': 58, 'rd$': 5}"
0.4,des$,"{'d$': 23, '$': 2}"
0.41,ell,"{'el': 29, 'pal': 1, 'eli': 1}"
0.41,dé,"{'de': 139, 'd': 10, '': 1}"
0.41,$en,"{'$an': 88, '$en': 8}"
0.41,$U,"{'$I': 33, '$A': 3}"
0.41,$ac,"{'$ak': 33, '$as': 3}"
0.41,cré,"{'kre': 22, 'kr': 2}"
0.41,fs,"{'f': 11, 's': 1}"
0.41,iq,"{'ik': 11, 'ez': 1}"
0.41,ny,"{'ni': 11, 'i': 1}"
0.41,Hom,"{'Om': 11, 'Omm': 1}"
0.41,git,"{'zit': 11, 'it': 1}"
0.41,jec,"{'zek': 11, 'ek': 1}"
0.41,mé$,"{'me$': 11, 'e$': 1}"
0.41,pec,"{'pek': 11, 'pes': 1}"
0.41,pét,"{'pet': 11, 'et': 1}"
0.41,squ,"{'sk': 11, 'skw': 1}"
0.41,ss$,"{'s$': 11, '$': 1}"
0.41,tré,"{'tre': 11, 'tr': 1}"
0.41,épi,"{'epi': 11, 'pi': 1}"
0.41,$ass,"{'$as': 11, '$asw': 1}"
0.41,$chi,"{'$si': 11, '$chi': 1}"
0.41,chir,"{'sir': 11, 'ir': 1}"
0.41,gner,"{'gne': 11, 'gnr': 1}"
0.41,ime$,"{'im$': 11, 'em$': 1}"
0.41,iquer,"{'ike': 11, 'iker': 1}"
0.41,ff,"{'f': 108, 'ff': 4, 'fe': 2, 'fi': 1}"
0.42,elle,"{'el': 79, 'ele': 2, 'ela': 2, 'pal': 1}"
0.42,cit,"{'sit': 28, 'sitw': 1, 'it': 1}"
0.42,tions,"{'sion': 28, 'tion': 1, 'on': 1}"
0.42,pré,"{'pre': 32, 're': 3}"
0.42,édi,"{'edi': 32, 'di': 3}"
0.43,hè,"{'e': 21, '': 2}"
0.43,issi,"{'isi': 21, 'asi': 2}"
0.43,amb,"{'anb': 31, 'anbw': 3}"
0.44,ance,"{'ans': 51, 'an': 3, 'anse': 1}"
0.44,éd,"{'ed': 70, 'd': 7}"
0.44,fier,"{'fie': 20, 'ie': 2}"
0.44,Cen,"{'San': 10, 'san': 1}"
0.44,Dél,"{'Del': 10, 'Delw': 1}"
0.44,cap,"{'kap': 10, 'ap': 1}"
0.44,ock,"{'ok': 10, 'oke': 1}"
0.44,vem,"{'vm': 10, 'van': 1}"
0.44,égo,"{'ego': 10, 'Ego': 1}"
0.44,conc,"{'kons': 10, 'konk': 1}"
0.44,iens,"{'ien': 10, 'in': 1}"
0.44,irer,"{'ire': 10, 'ir': 1}"
0.44,itai,"{'ite': 10, 'iti': 1}"
0.44,miss,"{'mis': 10, 'is': 1}"
0.44,mple,"{'nple': 10, 'mpel': 1}"
0.44,olla,"{'ola': 10, 'la': 1}"
0.44,qué$,"{'ke$': 10, 'k$': 1}"
0.44,rale,"{'ral': 10, 'rala': 1}"
0.44,rse$,"{'rs$': 10, 'r$': 1}"
0.44,enter,"{'ante': 10, 'antr': 1}"
0.44,ours$,"{'our$': 10, 'ours$': 1}"
0.44,entaire,"{'anter': 10, 'nter': 1}"
0.44,ph,"{'f': 79, '': 2, 'fi': 1, 'fe': 1, 'F': 1}"
0.45,ble,"{'b': 153, 'ble': 16}"
0.46,omb,"{'onb': 25, 'omb': 1, 'onbw': 1}"
0.46,enta,"{'anta': 25, 'ant': 1, 'nta': 1}"
0.46,mpl,"{'npl': 47, 'nplw': 5}"
0.46,nqu,"{'nk': 28, 'nki': 3}"
0.47,étr,"{'etr': 24, 'Etr': 1, 'tr': 1}"
0.47,roi,"{'rwa': 36, 'roi': 4}"
0.47,mè,"{'me': 18, '': 2}"
0.47,ales,"{'al': 18, 'ales': 2}"
0.47,Fu,"{'Fi': 9, 'Fw': 1}"
0.47,pè,"{'pe': 9, '': 1}"
0.47,Mau,"{'Mo': 9, 'Mau': 1}"
0.47,Plu,"{'Pli': 9, 'Pl': 1}"
0.47,asi,"{'azi': 9, 'asi': 1}"
0.47,evo,"{'evw': 9, 'evo': 1}"
0.47,gué,"{'ge': 9, 'g': 1}"
0.47,hez,"{'e': 9, 'et': 1}"
0.47,oco,"{'oko': 9, 'ok': 1}"
0.47,tec,"{'tek': 9, 'te': 1}"
0.47,tti,"{'ti': 9, 'tsi': 1}"
0.47,voc,"{'vok': 9, 'Vok': 1}"
0.47,xce,"{'xse': 9, 'xsa': 1}"
0.47,xe$,"{'x$': 9, 't$': 1}"
0.47,cess,"{'ses': 9, 'sesw': 1}"
0.47,chev,"{'sev': 9, 'ev': 1}"
0.47,chez,"{'se': 9, 'set': 1}"
0.47,mpos,"{'npoz': 9, 'npos': 1}"
0.47,ppre,"{'pra': 9, 'pre': 1}"
0.47,rapp,"{'rap': 9, 'rapr': 1}"
0.47,vons,"{'von': 9, 'vons': 1}"
0.47,édic,"{'edik': 9, 'edis': 1}"
0.47,ésen,"{'ezan': 9, 'ez': 1}"
0.47,centr,"{'santr': 9, 'sant': 1}"
0.47,tific,"{'tifik': 9, 'tifis': 1}"
0.47,être$,"{'et$': 9, 't$': 1}"
0.47,age,"{'az': 113, 'aze': 3, 'a': 3, 'aza': 1, '': 1}"
0.47,iser,"{'ize': 53, 'ze': 2, 'izer': 1, 'az': 1}"
0.48,ain$,"{'in$': 35, 'en$': 4}"
0.48,tati,"{'tasi': 52, 'tati': 6}"
0.48,éco,"{'eko': 54, 'ko': 4, 'ekw': 1}"
0.48,log,"{'loz': 34, 'log': 2, 'oz': 1}"
0.48,$ch,"{'$s': 76, '$sw': 3, '$ch': 2, '$se': 1}"
0.49,cour,"{'kour': 17, 'our': 2}"
0.49,ture,"{'tir': 50, 'tire': 6}"
0.49,$Inc,"{'$Ink': 25, '$Ins': 3}"
0.5,én,"{'en': 74, 'n': 9}"
0.5,cri,"{'kri': 44, 'ri': 2, 'kriy': 2}"
0.5,laire,"{'ler': 22, 'le': 1, 'er': 1}"
0.5,z$,"{'$': 140, 'z$': 5, 'r$': 4, 't$': 1, 'ne$': 1}"
0.5,chan,"{'san': 24, 'kan': 3}"
0.5,tive,"{'tif': 24, 'tiv': 3}"
0.5,lique,"{'lik': 16, 'ik': 2}"
0.5,mment,"{'man': 16, 'mant': 2}"
0.5,endre$,"{'ande$': 16, 'nde$': 2}"
0.51,eu,"{'e': 346, 'ei': 8, 'er': 6, '': 3, 'en': 3, 'es': 2, 'el': 1, 'ez': 1}"
0.51,j,"{'z': 145, '': 5, 'j': 3, 'n': 1, 'y': 1, 'm': 1}"
0.51,ck$,"{'k$': 21, 'rnk$': 1, 'rr$': 1}"
0.52,nati,"{'nasi': 23, 'nati': 3}"
0.52,ée,"{'e': 128, 'ee': 7, 'ye': 2, 'ea': 1, 'r': 1}"
0.52,ci,"{'si': 287, 'i': 32, 'ci': 2}"
0.52,cier,"{'sie': 15, 'sier': 2}"
0.52,sitio,"{'zisio': 15, 'sio': 2}"
0.52,iment$,"{'iman$': 15, 'man$': 2}"
0.53,té,"{'te': 269, 't': 17, 'e': 6, '': 1, 'té': 1}"
0.53,éra,"{'era': 55, 'ra': 5, 'ere': 1}"
0.53,dic,"{'dik': 29, 'dis': 4}"
0.54,cou,"{'kou': 78, 'ou': 5, 'cou': 3}"
0.54,uto,"{'to': 28, 'uto': 4}"
0.54,lc,"{'lk': 14, 'ls': 2}"
0.54,'es,"{'es': 14, 's': 2}"
0.54,nie,"{'ni': 14, 'nie': 2}"
0.54,ruc,"{'rik': 14, 'ris': 2}"
0.54,ète,"{'et': 14, 't': 2}"
0.55,eig,"{'eg': 28, 'eng': 2, 'e': 1}"
0.55,cre,"{'kre': 19, 'kr': 1, 'k': 1}"
0.55,ies,"{'i': 19, '': 1, 'ies': 1}"
